,Country,Continent,Consumption(KG),Yearly coffeeConsumptionper Capita(KG),Daily CoffeeConsumptionper Capita(CUP),CoffeeDrinking(YEAR),Lifetime CupConsumption(CUP),Priceper cupof coffee,Total LifetimeCoffee Spending($)
1.0,Luxembourg,Europe,13440000.0,20.53,5.31,61.0,118227.0,3.6,425618.0
2.0,Finland,Europe,80880000.0,14.58,3.77,61.0,83939.0,4.0,335756.0
3.0,Sweden,Europe,106140000.0,10.0,2.59,62.0,58612.0,3.7,216863.0
4.0,Norway,Europe,54360000.0,9.93,2.57,62.0,58159.0,4.4,255900.0
5.0,Austria,Europe,70380000.0,7.86,2.03,61.0,45198.0,3.3,149153.0
6.0,Denmark,Europe,46680000.0,7.9,2.04,62.0,44676.0,5.4,241250.0
7.0,Switzerland,Europe,63600000.0,7.23,1.87,62.0,42318.0,5.0,211591.0
8.0,Netherlands,Europe,121800000.0,6.91,1.79,61.0,39854.0,3.1,123548.0
9.0,Greece,Europe,68340000.0,6.61,1.71,60.0,37449.0,3.1,116092.0
10.0,Germany,Europe,520200000.0,6.25,1.61,60.0,35259.0,3.1,109303.0
11.0,Canada,North America,235740000.0,6.08,1.57,61.0,34956.0,3.5,122346.0
12.0,Belgium,Europe,71100000.0,6.08,1.57,60.0,34383.0,3.1,106587.0
13.0,France,Europe,371520000.0,5.74,1.48,61.0,32952.0,3.1,102152.0
14.0,Slovenia,Europe,12240000.0,5.77,1.49,60.0,32631.0,1.7,55473.0
15.0,Italy,Europe,328140000.0,5.57,1.44,62.0,32587.0,1.54,50184.0
16.0,Lebanon,Asia,33120000.0,6.19,1.6,54.0,31536.0,3.63,114476.0
18.0,Brazil,South America,1320000000.0,6.1,1.58,54.0,31142.0,1.55,48270.0
17.0,Cyprus,Europe,6900000.0,5.48,1.42,60.0,31098.0,3.17,98581.0
19.0,Portugal,Europe,55860000.0,5.45,1.41,60.0,30879.0,1.66,51259.0
20.0,Croatia,Europe,22860000.0,5.7,1.47,57.0,30583.0,1.72,52603.0
21.0,Estonia,Europe,7380000.0,5.58,1.44,57.0,29959.0,3.05,91376.0
22.0,Lithuania,Europe,15060000.0,5.54,1.43,55.0,28707.0,2.72,78084.0
23.0,Czech Republic,Europe,50580000.0,4.82,1.25,58.0,26463.0,2.46,65098.0
24.0,United States,North America,1599060000.0,4.7,1.22,58.0,25827.0,4.69,121131.0
24.0,Australia,Oceania,116340000.0,4.4,1.14,62.0,25798.0,3.24,83586.0
26.0,Ireland,Europe,22200000.0,4.39,1.13,61.0,25159.0,3.47,87303.0
27.0,Spain,Europe,195180000.0,4.11,1.06,62.0,23988.0,1.92,46057.0
28.0,Costa Rica,North America,21120000.0,4.05,1.05,58.0,22229.0,2.55,56683.0
29.0,Japan,Asia,441300000.0,3.58,0.93,63.0,21385.0,3.1,66295.0
30.0,Poland,Europe,150060000.0,3.66,0.95,57.0,19765.0,2.48,49017.0
31.0,Latvia,Europe,6840000.0,3.74,0.97,54.0,19119.0,2.78,53150.0
32.0,Bulgaria,Europe,25380000.0,3.8,0.98,51.0,18243.0,1.57,28641.0
33.0,South Korea,Asia,148260000.0,2.86,0.74,62.0,16746.0,3.59,60119.0
34.0,Romania,Europe,66480000.0,3.34,0.86,53.0,16637.0,2.01,33440.0
35.0,Malta,Europe,1380000.0,2.58,0.67,62.0,15162.0,2.45,37147.0
36.0,Algeria,Africa,126600000.0,2.78,0.72,55.0,14454.0,0.84,12141.0
37.0,El Salvador,North America,17520000.0,2.75,0.71,51.0,13217.0,2.65,35024.0
38.0,Hungary,Europe,25080000.0,2.47,0.64,55.0,12848.0,1.57,20171.0
39.0,Venezuela,South America,76500000.0,2.65,0.69,51.0,12844.0,1.59,20423.0
40.0,Slovakia,Europe,13620000.0,2.35,0.61,56.0,12468.0,2.15,26807.0
41.0,Colombia,South America,121500000.0,2.33,0.6,56.0,12264.0,1.14,13981.0
42.0,Ukraine,Europe,82740000.0,2.25,0.58,51.0,10797.0,1.13,12200.0
43.0,Saudi Arabia,Asia,74460000.0,2.02,0.52,56.0,10629.0,3.82,40602.0
44.0,Taiwan,Asia,42420000.0,1.77,0.46,59.0,9906.0,2.79,27638.0
45.0,Dominican Republic,North America,22620000.0,2.0,0.52,52.0,9870.0,2.11,20825.0
46.0,Russia,Europe,277860000.0,1.92,0.5,53.0,9673.0,2.91,28147.0
47.0,Honduras,North America,21000000.0,1.98,0.51,51.0,9494.0,1.8,17089.0
48.0,Vietnam,Asia,159000000.0,1.61,0.42,53.0,8125.0,1.99,16169.0
49.0,Philippines,Asia,195000000.0,1.66,0.43,50.0,7848.0,2.47,19383.0
50.0,Ethiopia,Africa,226860000.0,1.79,0.46,45.0,7556.0,0.78,5893.0
51.0,Haiti,North America,20700000.0,1.77,0.46,43.0,7220.0,2.74,19782.0
52.0,Turkey,Asia,102660000.0,1.2,0.31,57.0,6450.0,1.54,9932.0
53.0,Thailand,Asia,84000000.0,1.17,0.3,58.0,6351.0,1.81,11495.0
54.0,Morocco,Africa,45180000.0,1.19,0.31,53.0,5997.0,1.62,9715.0
55.0,Guatemala,North America,23580000.0,1.3,0.34,48.0,5957.0,2.37,14118.0
56.0,Mexico,North America,145500000.0,1.13,0.29,53.0,5610.0,2.55,14306.0
57.0,Indonesia,Asia,288360000.0,1.04,0.27,49.0,4829.0,2.06,9948.0
58.0,Argentina,South America,37260000.0,0.81,0.21,56.0,4292.0,1.76,7555.0
59.0,Sudan,Africa,42780000.0,0.89,0.23,44.0,3694.0,1.8,6649.0
60.0,Madagascar,Africa,22500000.0,0.74,0.19,44.0,3051.0,1.19,3631.0
61.0,Egypt,Africa,74520000.0,0.66,0.17,49.0,3040.0,1.99,6050.0
62.0,South Africa,Africa,39180000.0,0.65,0.17,41.0,2544.0,1.72,4376.0
63.0,Peru,South America,15000000.0,0.44,0.11,55.0,2208.0,2.5,5521.0
64.0,Uganda,Africa,15240000.0,0.31,0.08,42.0,1226.0,2.86,3508.0
65.0,India,Asia,87000000.0,0.06,0.02,50.0,365.0,1.83,668.0
1.0,Luxembourg,Europe,13440000.0,20.53,5.31,61.0,118227.0,3.6,425618.0
2.0,Finland,Europe,80880000.0,14.58,3.77,61.0,83939.0,4.0,335756.0
3.0,Sweden,Europe,106140000.0,10.0,2.59,62.0,58612.0,3.7,216863.0
4.0,Norway,Europe,54360000.0,9.93,2.57,62.0,58159.0,4.4,255900.0
5.0,Austria,Europe,70380000.0,7.86,2.03,61.0,45198.0,3.3,149153.0
6.0,Denmark,Europe,46680000.0,7.9,2.04,62.0,44676.0,5.4,241250.0
7.0,Switzerland,Europe,63600000.0,7.23,1.87,62.0,42318.0,5.0,211591.0
8.0,Netherlands,Europe,121800000.0,6.91,1.79,61.0,39854.0,3.1,123548.0
9.0,Greece,Europe,68340000.0,6.61,1.71,60.0,37449.0,3.1,116092.0
10.0,Germany,Europe,520200000.0,6.25,1.61,60.0,35259.0,3.1,109303.0
11.0,Canada,North America,235740000.0,6.08,1.57,61.0,34956.0,3.5,122346.0
12.0,Belgium,Europe,71100000.0,6.08,1.57,60.0,34383.0,3.1,106587.0
13.0,France,Europe,371520000.0,5.74,1.48,61.0,32952.0,3.1,102152.0
14.0,Slovenia,Europe,12240000.0,5.77,1.49,60.0,32631.0,1.7,55473.0
15.0,Italy,Europe,328140000.0,5.57,1.44,62.0,32587.0,1.54,50184.0
16.0,Lebanon,Asia,33120000.0,6.19,1.6,54.0,31536.0,3.63,114476.0
18.0,Brazil,South America,1320000000.0,6.1,1.58,54.0,31142.0,1.55,48270.0
17.0,Cyprus,Europe,6900000.0,5.48,1.42,60.0,31098.0,3.17,98581.0
19.0,Portugal,Europe,55860000.0,5.45,1.41,60.0,30879.0,1.66,51259.0
20.0,Croatia,Europe,22860000.0,5.7,1.47,57.0,30583.0,1.72,52603.0
21.0,Estonia,Europe,7380000.0,5.58,1.44,57.0,29959.0,3.05,91376.0
22.0,Lithuania,Europe,15060000.0,5.54,1.43,55.0,28707.0,2.72,78084.0
23.0,Czech Republic,Europe,50580000.0,4.82,1.25,58.0,26463.0,2.46,65098.0
24.0,United States,North America,1599060000.0,4.7,1.22,58.0,25827.0,4.69,121131.0
24.0,Australia,Oceania,116340000.0,4.4,1.14,62.0,25798.0,3.24,83586.0
26.0,Ireland,Europe,22200000.0,4.39,1.13,61.0,25159.0,3.47,87303.0
27.0,Spain,Europe,195180000.0,4.11,1.06,62.0,23988.0,1.92,46057.0
28.0,Costa Rica,North America,21120000.0,4.05,1.05,58.0,22229.0,2.55,56683.0
29.0,Japan,Asia,441300000.0,3.58,0.93,63.0,21385.0,3.1,66295.0
30.0,Poland,Europe,150060000.0,3.66,0.95,57.0,19765.0,2.48,49017.0
31.0,Latvia,Europe,6840000.0,3.74,0.97,54.0,19119.0,2.78,53150.0
32.0,Bulgaria,Europe,25380000.0,3.8,0.98,51.0,18243.0,1.57,28641.0
33.0,South Korea,Asia,148260000.0,2.86,0.74,62.0,16746.0,3.59,60119.0
34.0,Romania,Europe,66480000.0,3.34,0.86,53.0,16637.0,2.01,33440.0
35.0,Malta,Europe,1380000.0,2.58,0.67,62.0,15162.0,2.45,37147.0
36.0,Algeria,Africa,126600000.0,2.78,0.72,55.0,14454.0,0.84,12141.0
37.0,El Salvador,North America,17520000.0,2.75,0.71,51.0,13217.0,2.65,35024.0
38.0,Hungary,Europe,25080000.0,2.47,0.64,55.0,12848.0,1.57,20171.0
39.0,Venezuela,South America,76500000.0,2.65,0.69,51.0,12844.0,1.59,20423.0
40.0,Slovakia,Europe,13620000.0,2.35,0.61,56.0,12468.0,2.15,26807.0
41.0,Colombia,South America,121500000.0,2.33,0.6,56.0,12264.0,1.14,13981.0
42.0,Ukraine,Europe,82740000.0,2.25,0.58,51.0,10797.0,1.13,12200.0
43.0,Saudi Arabia,Asia,74460000.0,2.02,0.52,56.0,10629.0,3.82,40602.0
44.0,Taiwan,Asia,42420000.0,1.77,0.46,59.0,9906.0,2.79,27638.0
45.0,Dominican Republic,North America,22620000.0,2.0,0.52,52.0,9870.0,2.11,20825.0
46.0,Russia,Europe,277860000.0,1.92,0.5,53.0,9673.0,2.91,28147.0
47.0,Honduras,North America,21000000.0,1.98,0.51,51.0,9494.0,1.8,17089.0
48.0,Vietnam,Asia,159000000.0,1.61,0.42,53.0,8125.0,1.99,16169.0
49.0,Philippines,Asia,195000000.0,1.66,0.43,50.0,7848.0,2.47,19383.0
50.0,Ethiopia,Africa,226860000.0,1.79,0.46,45.0,7556.0,0.78,5893.0
51.0,Haiti,North America,20700000.0,1.77,0.46,43.0,7220.0,2.74,19782.0
52.0,Turkey,Asia,102660000.0,1.2,0.31,57.0,6450.0,1.54,9932.0
53.0,Thailand,Asia,84000000.0,1.17,0.3,58.0,6351.0,1.81,11495.0
54.0,Morocco,Africa,45180000.0,1.19,0.31,53.0,5997.0,1.62,9715.0
55.0,Guatemala,North America,23580000.0,1.3,0.34,48.0,5957.0,2.37,14118.0
56.0,Mexico,North America,145500000.0,1.13,0.29,53.0,5610.0,2.55,14306.0
57.0,Indonesia,Asia,288360000.0,1.04,0.27,49.0,4829.0,2.06,9948.0
58.0,Argentina,South America,37260000.0,0.81,0.21,56.0,4292.0,1.76,7555.0
59.0,Sudan,Africa,42780000.0,0.89,0.23,44.0,3694.0,1.8,6649.0
60.0,Madagascar,Africa,22500000.0,0.74,0.19,44.0,3051.0,1.19,3631.0
61.0,Egypt,Africa,74520000.0,0.66,0.17,49.0,3040.0,1.99,6050.0
62.0,South Africa,Africa,39180000.0,0.65,0.17,41.0,2544.0,1.72,4376.0
63.0,Peru,South America,15000000.0,0.44,0.11,55.0,2208.0,2.5,5521.0
64.0,Uganda,Africa,15240000.0,0.31,0.08,42.0,1226.0,2.86,3508.0
65.0,India,Asia,87000000.0,0.06,0.02,50.0,365.0,1.83,668.0
